Text,Polarity
বাংলাদেশের জন্য কোন উইকেটই ফেভারেবল নয় l ,neutral
কারণ উইকেটের সুবিধা পেতে হলে নিজেদের শক্তিশালী দিক গুলোতে প্রতিপক্ষের দিক থেকে এগিয়ে থাকতে হয় ,positive
"ব্যাটিং, পেস বোলিং কিংবা স্পিন বোলিং কোন ক্ষেত্রেই বাংলাদেশ প্রতিপক্ষের থেকে অপেক্ষাকৃত শক্তিশালী অবস্থায় থাকেনা ",negative
"ব্যাটিং, পেস বোলিং কিংবা স্পিন বোলিং কোন ক্ষেত্রেই বাংলাদেশ প্রতিপক্ষের থেকে অপেক্ষাকৃত শক্তিশালী অবস্থায় থাকেনা ",negative
"ব্যাটিং, পেস বোলিং কিংবা স্পিন বোলিং কোন ক্ষেত্রেই বাংলাদেশ প্রতিপক্ষের থেকে অপেক্ষাকৃত শক্তিশালী অবস্থায় থাকেনা ",negative
"বাংলাদেশ টেস্টে যতবার ভালো করেছে, তা কেবল নিজেদের ভালো খেলার উপর ভর করেই ",positive
কমপক্ষে আড়াইশো রানের ব্যবধানে বাংলাদেশ দলের পরাজয় তামিমদের কপালে লেখা হয়ে গেছে।,negative
কমপক্ষে আড়াইশো রানের ব্যবধানে বাংলাদেশ দলের পরাজয় তামিমদের কপালে লেখা হয়ে গেছে।,negative
"কয়দিন আগে তো জেতার জন্য গাড়ি বাড়ি বাল ছাল কতো কী দেওয়া হলো,",negative
সালাদের কাছ থেকে সব কেড়ে নিয়ে ভিক্ষার ঝুলি হাতে দেওয়া উচিত।,negative
 টেস্ট ক্রিকেটে নিজেদের মত করে তৈরী পিচের সুবিধা সব দেশ ই নেয়।,negative
বাংলাদেশ কেন নিতে পারল না? এটা খতিয়ে দেখা জরুরি ,negative
"২য় ইনিংসে বাংলাদেশের কোন ব্যাটসম্যান ৫০ রানের নিচে আউট হলে, তাকে ১ লক্ষ টাকা জরিমানা করা উচিত।",negative
"২য় ইনিংসে বাংলাদেশের কোন ব্যাটসম্যান ৫০ রানের নিচে আউট হলে, তাকে ১ লক্ষ টাকা জরিমানা করা উচিত।",negative
উইকেটে এসে ধৈর্য হারিয়ে ফেলে।,negative
 চিলে কান নিয়েছে আর সে চিলের পেছনে ছুটছে বাংলাদেশ,negative
তাদের বলা হয় এটা এই রকম উইকেট সেই রকম উইকেট আর তারা সেই অনুযায়ী মুখস্থ খেলা খেলতে থাকে।,negative
বুঝে শুনে খেললে তারা ২০০ করতে পারতো যেমনটা পেরেছে শ্রীলংকা করতে ,negative
বুঝে শুনে খেললে তারা ২০০ করতে পারতো যেমনটা পেরেছে শ্রীলংকা করতে ,negative
 বাংলাদেশ এই ম্যাচে রেজাল্ট চাইছে রেজাল্ট পাবে তো প্রব্লেম কি,negative
জিতলে গামিনি ভালো হারলে খারাপ আজব কাহিনি।,negative
এই পিচে যদি ওরা খেলতে পারে তাহলে আমাদের গাধারা পারবে না কেন।,negative
বাংলাদেশের টিম ম্যানেজমেন্ট এবং প্লেয়াররা বর্তমানে অনেক অভিজ্ঞ,negative
তাই ঝুঁকি নেয়। তাদের তো কোচই লাগেনা,negative
স্পিন নির্ভর ক্রিকেট বাদ দিতে হবে!,negative
"স্পোর্টিং পিচ তৈরি করে খেলতে হবে,যারা ভাল করবে তারাই জিতবে।",neutral
"দোয়া কইরা দিছি আর কোনো দিনই ভালো খেলতে পারবেনা , এরা তো খেলতে আসে নাই এরা এসেছে নাম ফুটাতে ""বদনাম",negative
বাংলাদেশ ক্রিকেটের কোন ভবিষ্যৎ নাই,negative
"খেলোয়ারদের দ্বায়িত্ব জ্ঞান হীনতা এর আসল কারণ, ",negative
"যে টাকা ক্রিকেটের পিছে ব্যায় করা হচ্ছে  সে টাকায় বেকার যুবকদের জন্য -- কোম্পানি, ফ্যাক্টরী খুললে দেশের অনেক উপকার হতোদেশের অনেক উপকার হতো",negative
"আমি challenge করলাম , 50 বছরেও ক্রিকেটে বিশ্বকাপ পাবে না ",negative
অামার মনে হয়....! বিসিবির এই মুহূর্তে ক্রিকেটার দের কোচ না নিয়োগ করে টিম ম্যানেজমেন্টদের জন্য কোচ নিয়োগ দেওয়াৃ জরুরি,negative
টিম ম্যানেজমেন্টে যারা অাছে তাদের ক্রিকেট জ্ঞানের উন্নতি অতিব জরুরি।,negative
"আরে ভাই, তারা তারি হেরে গিয়ে,ঘরুয়া লিক খেলবে,তার সত্যাতা হল,মুশিরিকের ও মমির আউট হওয়ার দরন।",negative
প্রকৃতপক্ষে বাংলাদেশ এখনও সত্যিকারের পেশাদার দল হয়ে উঠেনি যা বিসিবির কর্মকান্ড দেখলে মনে হয়।,negative
 ক্রিকেটের অভিজাত দল গুলোর দল নির্বাচনের যদি তাকাই তবে দেখতে পাবো তারা ক্রিকেটারদের এ্যাবিলিটি অনুযায়ী দল সাজা,negative
"ফিঞ্চ,মরগান,বাটলার,রয়,হেল্স,গাপটিল,মিলার,ডুমিনি,চাহাল,থিসারাদের মতো ক্রিটাররা যেখানে টেষ্ট দলে জায়গা পায়না",neutral
"সাব্বির,মোসাদ্দেক,সানজামুল,রাব্বি,শুভাসিষ আমাদের টেস্ট দলের সদস্য",neutral
"জানিনা নাফিস,নাঈম,তুষার ইমরান,আব্দুর রাজ্জাকদের মতো সিনিয়র ক্রিকেটারদের প্রতি বিসিবি এত বিমুখ কেন? ",negative
"ক্রিকেটের সাম্প্রতিক সময়ের অধিকাংশ সাফল্যই এসেছে সাকিব,তামিম,মুশফিক,রিয়াদ,ম্যাশ..এদের হাত ধরে।",positive
"ভারত,ইংল্যান্ড,অস্ট্রেলিয়া প্রথম শ্রেণির ক্রিকেটে যেখানে গভীর মনোযগী,তখন আমরা পড়ে আছি ক্লাব ক্রিটের ডিপিএল নিয়ে।",negative
"যে ক্রিকেটার এখনও প্রথম শ্রেণির ক্রিকেট বোঝেনা,তাকে নেওয়া হয় আন্তর্জাতিক টেস্ট ম্যাচের স্কোয়াডে। ",negative
সবচেয়ে অবাক লাগে টেস্ট স্কোয়াডের অন্তর্ভুক্ত খেলোয়াড়কে টেস্ট দর্শন বা প্রথম শ্রেণির ক্রিকেটে না খেলিয়ে যখন তাকে ক্লাব ক্রিকেটে খেলানো হয়!,negative
 হাস্যকর আমাদের টিম ম্যানেজমেন্টের সিদ্ধান্ত...এমনই পাগল আমাদের বিইইই সিইইই বি!,negative
বাংলাদেশ হার হবার তিনটা কারন হবে ,negative
 কন্ডিশনে খাপ খাওয়াতে পারছেনা । ,negative
তিন দিনে ম্যাচ শেষ হয়ে গেলে দুই দিন বেশি ছুটি পাবে এ জন্য তাড়া তাড়ি আউট হচ্ছে ।,negative
 সাকিব নেই বলে ,negative
"আমি বুঝিনা ইমরুল, লিটন , সাব্বির এরা কেন দল থেকে বাদ পরেনা । ",negative
" এদের তিন জনের জায়গায় নাফিজ, তুষার,বিজয় কে খেলালে ভালো হবে । আমি ঠিক বলেছি না ভুল বলেছি ?",negative
"আমার মনে হয়স্বৈরাচার পাপন নিজেই কোচ,পরিচালক,নির্বাচক,ফিজিও",negative
পাপন এবারও বিনাভোটে সভাপতি হয়েছে!কিন্তু কেন?,negative
 বাংলাদ‌েশ ন‌িজেদ‌ের পাতা ফাদ‌েঁ ন‌িজেরাই পড়‌েছে। ,negative
বাঁশ খাব‌ে শালারা তাহল‌েই মজা পাব‌ো অার ক্র‌িকেট ব‌িশ্বও খুশী হব‌ে।,negative
"আমি আর কি বলবো,,, আর কিবা করার আছে,,, আমরা সুধু দেখেই জাব",neutral
সোনার ছেলেরা কন্ডিশনে খাপ খাওয়াতে পারেনি,negative
শ্রীলঙ্কারা আবাল তাই টাইগারদের বুদ্ধির সাথে বুঝে উঠতে পারছে না,negative
বাংলাদেশ টাইগার বাহিনী বলে কথা। হাহাহা।,negative
" রোশানের কথাটা ভালো লাগ্লো,,,যুক্তিসংগত কথা",negative
এদের খেলা দেখতেও এখন লজ্জা লাগে নিজের কাছে,negative
কতো কিছুই তো বুঝা যায় না,negative
সুজন এখনও স্ট্রাটেজি ঠিক করতে শেখেনি,negative
 প্যাট মোটাটা কয়েকদিন থাকলে বাংলাদেশ সোমালিয়ার সাথে হারবে।,negative
"BCB আর কত দিন, যোগ্য Test and ODI ব্যাটসম্যানের অমুল্যায়ন করবে?",negative
 এই পাগলের বাচ্ছা কি পিচ তৈরী করে????,negative
 সময় এসেছে রাজাকার পিচ কিউরেটর কে পাছায় লাথি দিয়ে বের করার,negative
বাঘ সিংহের লড়ায়ে বাঘের পরাজয় মনে হচ্ছে অনিবার্য।,negative
ঘরোয়া লিগে সবাই বাল ফালাই!!আর টিমে আসলে লেজ নাড়ে!!!বালডা খেলে।,negative
"এটাকে ঝুকি নেওয়া বলে না, গাধামি/ছাগলামি বলা যেতে পারে !",negative
খলনায়ক তো গামিনী,negative
কিউরেটর আসলেই সমস্যা করছে....,negative
টাইম টু ফায়ার আউট গামিনী...ভেরী হাই টাইম,negative
খালেদা জিয়ার রায় মেনে নিতে না পেরে ক্ষোভে উইকেট বিলিয়ে দিয়ে এসেছে,negative
বুঝা উচিত ছিল শ্রীলংকাও উপমহাদেশের..,neutral
আমাদের তারকা বেশি তাই। তবে ময়দানে না প্রচারে,negative
"সিলভা কবে বাদ হবে, কিউরেটর এর চাকরি থেকে?",negative
তোমাদের বুঝার দরকার নাই আমরা বুঝতে পারলেই হলো,negative
আমার তো মনে হইতেছে বাংলাদেশ জিতবে ইনশাআল্লাহ।।,positive
 কারণ বাংলা খেলার ফল চাই,positive
সোনার ছেলেরা তো তাই,negative
"আমি চাই,ক্রিকেটারদের বেতন বন্ধ করা হক।",negative
স্যার পাপন কি লজ্জা পাইবেন?,negative
" ওনারা শোক পালন কর‌ছেন।
",negative
" বাংলাদেশ ক্রিকেট দল বাহিরে খেলতে গেলে, কন্ডিশন, আবহাওয়া, কত কিছু বিবেচনা করা লাগে",negative
কেউ কেউ বলতে ও শুনেছি বাংলাদেশ কন্ডিশন এর কাছে হেরে গেছে!!,negative
আসুন সবাই মিলে হাতুরিকে গালগালি শুরু করি,negative
আসার সাথে সাথে কিভাবে টিম শ্রীলংকাকে বদলে দিল....আমার দের দেশে কিছু বলদ আছে যারা বাংলাদেশ টিমের উন্নতি তে হাতুরির quality খুজে পাই না,positive
এখন আবার কিছু বলদ তুষার ইমরান কে নিতে বলছে,negative
নাছির এনামুল থেকে এখন ও শিখে নাই তারা.বিসিবিকে বলছি খুব শীঘ্রই ভাল কোচ আনুন নাহলে আমাদের একমাএ গৌরবের জায়গাটি হারিয়ে ফেলবো.,negative
মরা সৌম্য সাব্বির কাউকে হারাইতে চাই না।,negative
 টেস্টের ফলাফল যাই হোক পিচের দোষ দেয়া অজুহাত ছাড়া কিছুই না,negative
শ্রীলঙ্কার ব্যাটসম্যানরাও একই পিচে খেলছে। ,negative
দ্বিতীয় ইনিংসে বাংলাদেশের খেলোয়ারদের ডায়াপার পরে ব্যাটিংয়ে নামা উচিত হ,negative
"হায়রে মন, তবুও একটা মিরাকলের আশায় আছি।",negative
 ঘরোয়া ক্রিকেট ভেন্যুগুলোতে স্পোর্টিং উইকেট স্থাপনের উদ্যেগ কবে নেবে বিসিবি,negative
বাংলাদেশ খালি পরাজয়ের ব্যবধান কমাতে পারবে আর কিছু না,negative
সাকিব বিহীন দলটা সত্যিই অনেক অগোচালো,negative
"বাংলাদেশের হেড কোচ হিসেবে চাই গেরী কার্স্টেন,",positive
ডান হাতি ব্যাটসম্যানের জন্য রিকি পন্টিং,positive
"বাহাতি ব্যাটসম্যানের জন্য ব্রায়ান লারা, ",negative
"ডান হাতি বোলারের জন্য ম্যালকম মার্শাল, বাঁহাতি বোলারের জন্য ওয়াসিম আক্রম",positive
"লেগ স্পিনারের জন্য শেন ওয়ার্ন, অফ স্পিনারের জন্য মুরলিধরণ আর ফিল্ডিং কোচ হিসেবে জন্টি রোডসকে চাই।",positive
পানি টানার জন্য,negative
বাংলাদেশ নিজের ঘরেই গর্জণ দেয় বেশি।,negative
"তারপরো যখন টিম বাংলাদেশ নিজেদের ঘরের মাঠেই হাগুমুতো করেদেয়,তখন এক বালতি আফসোস ছাড়া আর কিছুই করার বাকি থাকে ",negative
"৫ দিনের খেলা ৩ দিনে শেষ করতে পারবে,,এই ভেবে তারা খুসি,, মানে ২ দিন বেশি ছুটি পাবে",negative
একটা দু'টা ম্যাচ জিতলেই মানুষের ফাকাফাকির জন্য থকাতে পারিনা।,negative
আমাদের মাঠে এসে শ্রীলংকা ট্রাই নেশন সিরিজ ও নিয়ে ফেলছে এখন টেস্ট সিরিজ টাও নিবে মনে হয়,neutral
আমরা একটা বেশি পারি অন্যের সমালোচনা করা আর ভারত কে গালি দেওয়া জিতলেও বিভিন্ন ওযুহাত আর হারলে তো কথায় নাই।,negative
এই জন্য আমাদের টিমের এই অবস্থা। ,negative
"এখন মনে হয়,,, আমাদের ক্রিকেটার রা,,, বিরোধী দলীয় নেত্রীর জন্য শোক পালনে ব্যস্ত",negative
"কারন এদের কোম শরম নেই, ভেমরুল, কুমারি দাস, সাব্বির গরু এরা লংকান দের চুল ছিড়বে।",negative
" সম্ভব হতো,যদি সাকিব থাকত|সাকিব থাকলে ১ম ইনিংসে শ্রীলংকার ২০০ হতো না আর টাইগারদের ব্যাটিং ডামাডোল হতো না",negative
 যদি মাথা ঠান্ডা রেখে ব‍্যাটিং করে তাহলে কিছুটা সম্ভাবনা আছে।,neutral
কি ফালতু বলছেন? কৃকেট একজনের খেলা না। পুরো টিমটাকে পারফ্ম করতে হবে।,negative
" ভাই ""ঠাণ্ডা মাথা"" আর ""বাংলাদেশ ক্রিকেট টিম"" এই শব্দগুলা এক বাক্যে বসে না। লুল|",negative
"বকবক বন্ধ করা দরকার, এই পিচে এই রান অতিক্রম করা আর প্রশান্ত মহাসাগরের ভেলায় পাড়ি দেওয়া এক",negative
এই ম্যাচ বাংলাদেশ জিতবে -যারা এমনটা আশা করেন তারা কল্পলোকের বাসিন্দা। এই ম্যাচে কল্পলোক যদি বাস্তব হয়ে যায় তাহলে হোক না!,negative
 আমরা যখন 110 রানে অলআউট হয়ে গেছি তখনই হেরে গিয়েছি এখন শুধু শুধু লম্ফঝম্প করে লাভ নাই,negative
বরং পরাজয়ের ব্যবধান টা যাতে কম হয় সেদিকে লক্ষ্য রাখা উচিত!,negative
 যত গর্জে তত বর্ষে না,negative
" ৪র্থ ইনিংসে ৩০০রান করে জেতার আশা, ক্রিকেট জ্ঞান এর অভাব আছে বোধকরি।",negative
বলদ গুলা বলিং ভাল করলে বেটিং খারাপ করে বেটিং ভাল করলে বলিং খারাপ করে তানা হলে নিজেদের মাঠে এভাবে পেন্ট খুলে ছাড়ে।,negative
বাহিরে গেলে মানিয়ে নিতে একটু সমস্যা হচ্ছে আবে যে পারে সবজায়গাতে পারে।,negative
দর্শক পেটানো আর বল পেটানো অনেক পর্থক্য বুঝলি আবাল ছাব্বি,negative
কোন ছাগলে মীরপুরের উইকেট বানাইছিল...? ,negative
গত কিছু ম্যাচ হারার পিছনে এমন বেতাল উইকেট ই দায়ী,negative
বাস্তবতা মিরাজ ও জানে কিন্তু এই জন্য কি কাপুরুষের মত বলবে যে এটা সম্ভব না?,negative
আমরা অযথা মিরাজের কথাটাকে ট্রল করতেছি।,negative
"মিরাজ বলিং হয়েও প্রথম ইনিংস এ যে বাটিং টা করছে, এই বাটিং টা আমাদের ব্যাটসমেনরা করতে পারলে আজকে আমাদের এই অবস্থায় থাকা লাগতো না।",negative
"মিরাজ বলিং হয়েও প্রথম ইনিংস এ যে বাটিং টা করছে, এই বাটিং টা আমাদের ব্যাটসমেনরা করতে পারলে আজকে আমাদের এই অবস্থায় থাকা লাগতো না।",negative
 তরারে জুতা মারা দরকার টেষ্ট এ ১১০ রানে অলআউট হয়ে যায় তাও আবার নিজের দেশের মাটিতে।,negative
আপনারা চাপাবাজির জন্য খেলতে পারেন না। ,negative
"চাপাবাজি বাদ দিয়া খেলায় মনোযোগ দেন, নিজেদের সম্মান বাচান, দেশের সম্মান বাচান।  ",negative
"মনে রাখবেন যে পোশাক পরে খেলতে নামেন সেখানে দেশের নাম লেখা থাকে, তার অমর্যাদা আপনারা করতে পারেননা।",negative
চাপাবাজি বাদ দিয়া খেলায় মনোযোগ দিন।,negative
" প্রথমত,রানটা ৩০০ না।এটা ৩৫০ বা তার কাছাকাছি যাবে।",neutral
"ওদের টেলএন্ডার রা ব্যাটিং পারে।দ্বিতীয়ত,অসম্ভব না।",positive
"ওদের টেলএন্ডার রা ব্যাটিং পারে।দ্বিতীয়ত,অসম্ভব না।",positive
"এই স্প্রিট থাকা ভালো। কিন্তু তোমরা তো ক্রিজে নেমে সব ভুলে যাও, সমস্যাতো এইটাই",negative
আজকের রাতের জন্য সাব্বিরকে একজন সুন্দরী মডেলের সাথে সময় কাটানো সু ব্যবস্থা করা হোক। ,negative
দেখবেন কাল কি সুন্দর ব্যাটিং করবে!!! মিয়াও....,negative
সাব্ব‌িরক‌ে না ন‌িয়ে সাইফউদ্দীনক‌ে ন‌িলে ভাল হত। প‌েস ব‌োলিং এ কাজ‌ে লাগান য‌েত। ,negative
সাব্ব‌িরক‌ে না ন‌িয়ে সাইফউদ্দীনক‌ে ন‌িলে ভাল হত। প‌েস ব‌োলিং এ কাজ‌ে লাগান য‌েত। ,negative
"মিরাজ বয়সে ইম্ম্যাচিউর,খেলায় ইম্ম্যাচিউর,কথাবার্তাও ইম্মতাচিউর।অল্প বয়সে জাতীয় দলে আসলে যা হয় আর কি",negative
আমরা প্রতিভাগুলাকে নষ্ট করি।,negative
.লাঞ্চের পর খেলার শুরু হয়েছে মৃত্যুর মিছিল দেখার জন্য আমিও প্রস্তুত..,negative
যদি অতিপ্রাকৃত কিছু ঘটে তবে চারদিনেও যেতে পারে... কিন্তু আমাদের পরাজয় কেউ ঠেকিয়ে রাখতে পারবা না!.,negative
" বাংলাদেশ, ৭৫ নম্বর জার্সিটাকে সম্নান করো।",neutral
"দশ বছরে অনেক কিছু বদলেছে,বদালয়নি তার পারফরমেন্স আর অবদান। .",negative
" তোরা সাকিবের সাথে যাকে তুলনা করিস না, তারা সবাই টোপাপানা,স্রোতে ভেসে আসে, স্রোতেই ভেসে যাবে। ",negative
 সাকিবের বিরোধিতার জন্য তোরা তো একজনকে খুটি বানিয়েছিস মাত্র,negative
"আমরা দশ বছর আগে ছিলাম সাকিবিয়ান, এখনও সাকিবিয়ান",neutral
সাকিব ছাড়া বাংলাদেশ ৫৩ টেস্ট খেলেছে জিতেছে মাত্র ১টা,negative
। সাকিবসহ বাংলাদেশ ৫১ টেস্ট খেলেছে জিতেছে ৯ টা ।,negative
জয়ের মধ্যে সাকিব ৩ টাতে ম্যান অব দ্যা ম্যাচ এবং ৩ টাতে ম্যান অব দ্যা সিরিজ ,negative
সাকিব ৬বার ম্যান অব দা ম্যাচ টেস্ট এ।,positive
স্যার তামিম ইকবাল ও স্যার মুশফিকুর রহিম। এই দুই স্যার ১০-১২ ধরে জাতীয় দলে খেলা দুই প্লেয়ার।,positive
এরা সবসময় গ্রুপ পর্বের ম্যাচগুলোতে রান করে ফাটাইয়া ফেলবে।,negative
নকআউট পর্বের গুরুত্বপূর্ণ ম্যাচগুলোতে সবার আগে আন্ডা মেরে চলে আসে!   ,negative
"টি২০ বিশ্বকাপ,বিশ্বকাপ, চ্যাম্পিয়ন ট্রফি, ত্রিদেশীয় সিরিজের ফাঈনাল এসব ম্যাচ দেখলে বুঝা যায়।",negative
এদের থেকে রিয়াদ শতগুনে ভালো,positive
রিয়াদই একমাত্র প্লেয়ার যে কিনা বিপদে হাল ধরার চেষ্টা করে। ,negative
 দুই ইনিংসে বিশ্ব কুখ্যাত ওপেনার তামিমের মোট রান ৬ । ,negative
"আমরা হারি,কিন্তু হারার কারন খুজি না।",negative
"আমরা কেন হারি,আমাদের ব্যর্থতা কোথায়,কিভাবে তা উন্নয়ন করা যাবে চিন্তা হওয়ার দরকার এগুলো বিষয় নিয়ে। ",negative
ইমরুল আর সাব্বির এই দুইটা নাম শুনলেই মেজাজ টা বিগ্রে যায়।,negative
"আমাদের কষ্টের টাকা দিয়া সালার পোলাগো বেতন দেয় ,,, আর ওরা সেই টাকা দিয়ে লুতপুতু করে,,",negative
"শ্রীলংকা টেস্ট জেতা লাগব না,বাংলাদেশের লর্ড ব্যাটসম্যানরাই শ্রীলংকারে জিতাই দিবে",negative
এত বছর টেস্ট খেলার পর বাংলাদেশ এখনও সত্যিকার টেস্টের ট ও জানে না।,negative
"টেস্ট হারবে আর বলবে পিচে সমস্যা,এইটা হইছে,ঐ টা হইছে,,,,,,টেস্টে হারার জন্য সবগুলারে জরিমানা করা দরকার।",negative
একটাই প্রশ্ন আমার ওরা যদি বাংলাদেশ এ এসে খেলতে পারে। আর এরা নিজের দেশের মাটিতে খেলতে পারে না কেন? সব ফালতু,negative
মিনুল ছারা সবাই খারাপ খেলছে ।,positive
তামিমের আসলে আইপিএল এ খেলার যোগ্যতা নাই ,negative
 দু একটা ম্যাচ ভাল খেললে ভালো খেলোয়ার হওয়া যায় না ।,negative
 আমার মতে তামিমের টেস্ট খেলার যোগ্যতা নেই ।,negative
 ওয়েট..বিড়াল চোখা আর বিড়ালমুখো দুইটা ব্যাটসম্যান ও এখনও ক্রিজে নামেন নাই,negative
 ম্যাচে জয় করতে হলে অবশ্যই মমিনুলের সেরা খেলাটা খেলতে হবে । ,positive
 ম্যাচে জয় করতে হলে অবশ্যই মমিনুলের সেরা খেলাটা খেলতে হবে । ,negative
নিজের দেশের মাটিতে ৩৩৯ রানের টার্গেট আহামরি কিছু নয়। ,positive
আশা করি লাইগারেরা আজকেই অল আউট হবে।  ,negative
 সবাই বলে মুমিনুল খুব খেলে! আরে ভাই চিটাগাং কোন খেলার মাঠ? যেখানে ওর ৫টা হানড্রেট। পারলে মিরপুরে দেখাও।,negative
আসলে আমাদের প্লেয়াররা মনে করে আমরা বিশ্বজয় করে ফেলেছি।,negative
বাংলাদেশের আবাল ক্রীড়া সাংবাদিক দের মাঠে নামায় দেওয়া হোক,negative
"এক ম্যাচ জিতলে তারা যেভাবে রিপোর্ট লেখে,, তা দেখে অনেক সময় পাদ এসে",negative
 আমার মনে হয় অন্যান্য দেশ বিশ্বকাপ জিতলেও এভাবে মিডিয়ায় লেখালেখি হয়না।,negative
দেখার অপেক্ষায় আছি বাংলার কালো বিড়াল এবং বিরাট কোহলির ব্যাটিং কোচ সাব্বির দেখবনে কি করে,negative
ইমরুল তো দেখায় দিছে সে বিশাল ব্যপার স্যপার।।।।,negative
"কিসের পাহাড়??মাত্র ৩৩৯ রান,,,না পারলে পদ্মা সেতুতে লাফ দিয়া মরা উচিৎ",negative
",১৮০ ওভার আছে,,,,আর আজকে তো ৬০ ওভার বাকি",negative
বিসিবিকে আর ও কঠোর হতে হবে প্লেয়ার দের বেপারে.,negative
"ক্রিকেট টাকে রাজনীতি মুক্ত করতে হবে, তা হলে ভালো ফল পাওয়া যাবে!",neutral
"এই ইমরুলের সামান্যতম জ্ঞান আছে,,,!আবালের মত খেলে,,,কোন নিয়ন্ত্রণ নাই,,নিজের প্রতি?",negative
 সকি.বাল থাকলে বাংলালিঙ্কের অফার দিত আর লংকান রা দৌড়াইতো অফার নিতে। জিতে যেত বাংলাদেশ ক্রিকেট টিম,negative
আজ হেরে গেলাম,negative
পারবে যদি একজনকে দুবার বা তার অধিক ব্যাট করার সুযোগ দেওয়া হয়।,negative
এভাবে যাবে আর আসবে কিছুক্ষণ পরে দেখবে খেলা শেষ,negative
সাকিব ছাড়া বাংলাদেশ দল সেটা আবার হয় নাকি।,negative
 সপ্নেও চিন্তা করার দরকার নাই।,negative
মুসফিক এখন রিভারসুইপ খেলে!,negative
  ১৩৯ করতে পারবে কি!ঠেনশনে আছি!,negative
টপ অর্ডার কি বাল খেলল আজ ?,negative
 বাংলাদেশ যদি তাদের সেরা ব্যাটিং করে তাহলে ২৮০।,neutral
টেস্ট খেলতে পারে একমাত্র মুমিনুল!!!,positive
"ওরা না পারলেও ,বাংলার হলুদ সাংবাদিকেরা পারবে",negative
 উইকেটে দাড়িয়ে বাংলার প্লেয়াররা যেভাবে হাসফাস করছে তাতে তো ১৫০ রান করতে পারবে কিনা সন্দেহ আছে,negative
ব্যাপার না ৩৩৯ রান টার্গেট মাত্র হাতে আছে আরো ২দিন।,negative
পারবে গতকাল আজকে না,negative
"এদের দিয়ে হালচাঁষ করান লাভবান হবেন,,এদের থেকে আমাদের পারার মফিজের টিম ভালো খেলে। ",negative
এমনি তো হ ওয়ার ছিল।,negative
ইমরুল আমার ছাগল মারকা পেলেয়ার ওকে চিরো দিনের জননো বাদ দেও হোক ইমরুল দলের জননো অভিসা,negative
এই সিরিজে তামিম ভাইয়ের দায়িত্বহীন ব্যাটিং দেখা গেছে,negative
 একটা দলে এতগুলো অপদার্থ থাকলে কেমনে কি,negative
সাকিব মিসিং,neutral
জীবনে সম্ভব লয়,negative
না পারবেনা,negative
জীবনেও সম্ভব না,negative
২ বার ব্যাট ধরতে দিলেও জিততে পারবে কিনা সন্দেহ আছে?,negative
ইমরুল রে দেখলে আমার গান্ডুর মত মনে হয়।বজরা পোলা ইমরুল?,negative
ইমরুলের এইটা করা উচিত হয়নি,negative
39 করতে পারবে কিনা সন্দেহ আছে,negative
কোন সম্ভাবনা নেই।,negative
"ইমরুল ৯ বছর ধরে খেলে আসেছে জাতীয় দলে,কি বাল খেলছে এই ৯ বছরে,,সালার পুত রে থাপ্রাই বার ইচ্ছা করে,আজ ১৮ রানে আউট।",negative
"পিরবাবা মাশরাফি হলে আজকে পাদ দিইয়ে মাঠ ছারত,বেস পাদের গন্দে শ্রীলনকা বেহুশ.. বাংলাদেশ জিতে জেত।",negative
আমার মনে হয় বিসিবির এবার ভালো ভাবে ভাবার সময় হয়েছে খেলোয়াড়দের নিয়ে।,negative
যে খেলোয়াড়রা ৫-১০ বছর হলো ক্রিকেট খেলছে অথচ টেষ্ট ক্রিকেট বঝেনা তাদের বিসিবির দরকার নাই।,negative
 হাথুরু ঠিক বলছে আবেগ দিয়ে খেলা হয়না। খেলা শেষে ভালো ফল চাই।,negative
"আমার মতে বাংলাদেশ ক্রিকেট খেলা বাদ দিক,এতো টাকা নষ্ট করার কি দরকার",negative
"১০/১৫ ম্যাচ পরে যদি একটা জিততে পারে তাও জিম্বাবুয়ে, আফগানস্থান",negative
বর্তমানে আফগানস্থানের কাছেওও পারবেনা,negative
"সুজনও একটা কোচ,আর তেলাপোকাও একটা পাখি",negative
" বাংলাদেশের খেলোয়াড়দের ও পাবলিকের যা লেকচার ,,, যেন তারা ১ নম্বর টিম,",negative
"হাল বাইতে হলে, বলদ প্রয়োজন।",negative
আমি কোচ হবো।,negative
আমাদের কোচ চাই ।,neutral
আমাদের কোচ চাই ।,negative
"নান্নু আর সুজনকে সানি লিওনের কাছে পাঠাতে হবে,",negative
"কিছু কমু না। শুধু এটা বলতে চাই, মমিনুল শেষ পর্যন্ত থাকলে যে কোন কিছুই হতে পারে।",negative
"মমিনুল সেঞ্চুরি করছে এবং বাংলাদেশ হারছে, এরকম ঘটনা এখন পর্যন্ত ঘটে নাই।",positive
যে দেশে প্রথম আলোর মত কিছু পত্রিকা আছে যে পত্রিকা বাংলাদেশের কোন ব্যাটসম্যান একটু ভাল করলেই তাদের প্রসাংসায় আকাশে তুলে দেয় !,negative
যে দেশের সাব্বির রহমান টাইপ কিছু প্লেয়ার আছে। যারা নিজেদের ওয়ার্ল্ডের শ্রেষ্ঠ ব্যাটসম্যান করে।,negative
